row,station,Lat,Long,year,datsow,antheshis,maturity,crop,region_x,Mean_air_temp,Two_wks_hot_days,Four_wks_hot_days,HSI,Rain_sow_anth,Rain_anth_mat,Rain_sow_mat,air_dry_yield,SM10,SM20,SM50,SM100
0,Любашівка,47.85,30.26,2004,2004-05-17,2004-07-31,2004-09-14,maize,odes,18.87,6,7,1.0,98.6,38.4,137.0,3.0,18.0,35.0,72.0,128.0
1,Любашівка,47.85,30.26,2011,2011-05-08,2011-07-14,2011-08-31,maize,odes,20.83,11,16,1.0,111.88,5.69,117.57,6.5,16.0,34.0,74.0,129.0
2,Любашівка,47.85,30.26,2013,2013-04-26,2013-07-02,2013-08-16,maize,odes,21.29,8,12,1.0,54.0,7.29,61.29,4.7,13.0,25.0,70.0,136.0
3,Любашівка,47.85,30.26,2008,2008-05-17,2008-07-16,2008-08-10,sunflower,odes,20.91,8,13,0.91,26.0,11.0,37.0,2.3,7.0,15.0,44.0,99.0
4,Любашівка,47.85,30.26,2009,2009-05-06,2009-07-22,2009-08-24,sunflower,odes,20.82,8,14,0.86,46.1,10.19,56.29,2.6,18.0,36.0,93.0,176.0
5,Любашівка,47.85,30.26,2010,2010-05-04,2010-07-14,2010-08-08,sunflower,odes,21.56,6,13,0.92,138.6,0.99,139.59,2.6,12.0,25.0,68.0,127.0
6,Любашівка,47.85,30.26,2011,2011-05-11,2011-07-24,2011-08-28,sunflower,odes,20.98,9,16,0.9,112.28,5.29,117.57000000000001,2.2,16.0,32.0,75.0,129.0
7,Любашівка,47.85,30.26,2013,2013-05-01,2013-07-14,2013-08-16,sunflower,odes,21.38,3,7,0.98,55.29,6.0,61.29,1.5,12.0,25.0,67.0,130.0
8,Любашівка,47.85,30.26,2014,2014-05-30,2014-07-31,2014-08-28,sunflower,odes,21.26,13,22,0.82,53.4000000059605,5.5,58.9000000059605,2.2,12.0,26.0,60.0,111.0
9,Любашівка,47.85,30.26,2016,2016-04-14,2016-07-04,2016-08-18,sunflower,odes,19.14,4,16,0.87,211.39999973774,39.4000002145767,250.79999995231668,1.8,15.0,31.0,78.0,141.0
10,Сарата,46.01,29.76,2008,2008-04-22,2008-07-10,2008-08-20,maize,odes,19.4,6,18,1.0,26.6,9.79,36.39,2.0,17.0,30.0,63.0,129.0
11,Сарата,46.01,29.76,2010,2010-04-30,2010-07-06,2010-08-14,maize,odes,21.95,4,13,1.0,51.7,7.7,59.400000000000006,3.23,13.0,24.0,55.0,125.0
12,Сарата,46.01,29.76,2011,2011-05-02,2011-07-14,2011-08-22,maize,odes,20.53,12,18,0.97,39.5,7.3,46.8,3.42,15.0,27.0,61.0,133.0
13,Сарата,46.01,29.76,2012,2012-04-26,2012-07-04,2012-08-06,maize,odes,22.56,10,21,0.96,48.1,1.7,49.800000000000004,1.11,15.0,28.0,62.0,100.0
14,Сарата,46.01,29.76,2004,2004-04-08,2004-07-06,2004-08-02,sunflower,odes,17.17,2,5,0.99,103.0,9.4,112.4,1.47,13.0,27.0,64.0,143.0
15,Сарата,46.01,29.76,2005,2005-05-06,2005-07-14,2005-08-04,sunflower,odes,20.33,6,11,0.94,54.2,16.2,70.4,1.5,16.0,31.0,66.0,151.0
16,Сербка,47.01,30.75,2005,2005-05-10,2005-07-12,2005-08-10,sunflower,odes,20.9,5,9,0.97,20.8,8.3,29.1,1.7,11.0,22.0,50.0,103.0
17,Сербка,47.01,30.75,2008,2008-05-08,2008-07-08,2008-08-12,sunflower,odes,20.39,8,16,0.93,20.2,66.0,86.2,1.8,8.0,23.0,71.0,144.0
18,Сербка,47.01,30.75,2009,2009-05-06,2009-07-02,2009-07-31,sunflower,odes,21.08,13,22,0.84,26.99,7.0,33.989999999999995,1.8,12.0,25.0,69.0,139.0
19,Сербка,47.01,30.75,2010,2010-04-28,2010-06-22,2010-07-26,sunflower,odes,19.96,1,9,0.94,49.98,48.3,98.28,1.7,8.0,17.0,58.0,123.0
20,Сербка,47.01,30.75,2011,2011-05-02,2011-06-26,2011-07-28,sunflower,odes,19.92,3,8,0.95,36.8,53.9,90.69999999999999,1.8,4.0,9.0,28.0,76.0
21,Сербка,47.01,30.75,2012,2012-04-24,2012-06-28,2012-07-18,sunflower,odes,22.18,8,20,0.73,12.89,18.69,31.580000000000002,0.93,5.0,12.0,42.0,91.0
22,Сербка,47.01,30.75,2013,2013-04-28,2013-06-26,2013-07-26,sunflower,odes,20.9,9,17,0.89,30.0,83.0,113.0,1.4,6.0,14.0,43.0,101.0
23,Сербка,47.01,30.75,2014,2014-04-14,2014-06-26,2014-07-22,sunflower,odes,18.34,0,4,0.99,90.7000000476837,21.4000000953674,112.1000001430511,1.6,8.0,15.0,38.0,73.0
24,Сербка,47.01,30.75,2016,2016-04-08,2016-06-26,2016-07-26,sunflower,odes,18.18,12,12,0.92,173.800000041723,54.5,228.300000041723,1.3,7.0,17.0,47.0,94.0
25,Ізмаїл,45.36,28.85,2004,2004-04-19,2004-07-14,2004-08-18,sunflower,odes,18.99,5,9,0.97,76.3,2.4,78.7,0.5,12.0,27.0,74.0,122.0
26,Ізмаїл,45.36,28.85,2005,2005-04-26,2005-07-04,2005-08-12,sunflower,odes,20.02,1,4,0.99,103.0,15.1,118.1,1.6,11.0,23.0,66.0,145.0
27,Ізмаїл,45.36,28.85,2006,2006-04-26,2006-07-10,2006-08-14,sunflower,odes,20.12,3,14,0.91,11.300000049,2.300000012,13.600000061,1.6,11.0,21.0,61.0,131.0
28,Ізмаїл,45.36,28.85,2008,2008-04-11,2008-06-22,2008-07-22,sunflower,odes,18.51,7,13,0.94,26.59,21.7,48.29,1.52,16.0,33.0,85.0,142.0
29,Ізмаїл,45.36,28.85,2009,2009-04-08,2009-07-02,2009-07-22,sunflower,odes,18.89,12,20,0.87,13.9,16.0,29.9,1.7,11.0,22.0,75.0,138.0
30,Ізмаїл,45.36,28.85,2010,2010-04-07,2010-06-16,2010-07-26,sunflower,odes,18.92,7,9,0.94,11.38,89.6,100.97999999999999,1.5,14.0,29.0,72.0,136.0
31,Ізмаїл,45.36,28.85,2011,2011-04-20,2011-06-22,2011-08-06,sunflower,odes,19.62,6,6,0.97,17.28,21.4,38.68,1.26,16.0,32.0,73.0,137.0
32,Ізмаїл,45.36,28.85,2012,2012-04-18,2012-06-24,2012-07-26,sunflower,odes,22.2,9,20,0.77,48.5,29.1,77.6,1.13,16.0,32.0,72.0,135.0
33,Ізмаїл,45.36,28.85,2013,2013-04-18,2013-06-28,2013-08-02,sunflower,odes,20.9,7,16,0.95,34.8,27.7,62.5,1.82,13.0,26.0,68.0,127.0
34,Ізмаїл,45.36,28.85,2014,2014-04-24,2014-06-28,2014-08-06,sunflower,odes,19.77,0,5,0.98,85.2999991551042,36.9000004306436,122.1999995857478,1.36,13.0,27.0,64.0,117.0
35,Ізмаїл,45.36,28.85,2016,2016-04-22,2016-06-26,2016-07-26,sunflower,odes,19.28,12,13,0.88,257.800000280142,7.60000002384186,265.40000030398386,1.48,12.0,25.0,60.0,108.0
36,Асканія-Нова,46.45,33.88,2005,2005-05-14,2005-07-22,2005-09-04,maize,khr,22.14,9,17,1.0,120.19,0.0,120.19,5.8,12.0,21.0,38.0,72.0
37,Асканія-Нова,46.45,33.88,2016,2016-04-03,2016-07-10,2016-09-04,maize,khr,20.36,7,12,1.0,244.099999763072,55.8999999165535,299.9999996796255,12.0,14.0,29.0,52.0,81.0
38,Асканія-Нова,46.45,33.88,2004,2004-04-15,2004-06-28,2004-07-28,sunflower,khr,17.54,2,3,1.0,69.89,2.9,72.79,1.6,4.0,12.0,52.0,106.0
